# ----------------------------------------
# Traffic acquisition: Session source / medium
# Account: www.netco.de
# Property: NetCo allgemein (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260131
Session source / medium,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
forum.digitalfernsehen.de / referral,2,0,0,0,2,4,0,0,0
gateway.zscalertwo.net / referral,2,1,0.5,5,6.5,13,0,0,0
harz-ag.de / referral,2,2,1,74.5,13,26,0,0,0
in.search.yahoo.com / referral,2,2,1,44.5,13,26,0,0,0
leconnecteur.nl / referral,2,0,0,0,3.5,7,0,0,0
lens.google.com / referral,2,2,1,13,8,16,0,0,0
meet11.hwr-berlin.de / referral,2,2,1,66.5,6.5,13,0,0,0
openweather.lightning.force.com / referral,2,2,1,27.5,5,10,0,0,0
pi.pardot.com / referral,2,0,0,1.5,3.5,7,0,0,0
portal1225.webcam-profi.de / referral,2,1,0.5,1.5,3.5,7,0,0,0
portal1278.webcam-profi.de / referral,2,1,0.5,28.5,10.5,21,0,0,0
portal1419.webcam-profi.de / referral,2,1,0.5,9.5,6.5,13,0,0,0
portal1594.webcam-profi.de / referral,2,1,0.5,34,8,16,0,0,0
portal1841.webcam-profi.de / referral,2,2,1,0.5,4.5,9,0,0,0
portal1878.webcam-profi.de / referral,2,2,1,25,5.5,11,0,0,0
portal2143.webcam-profi.de / referral,2,1,0.5,3.5,7.5,15,0,0,0
portal2401.webcam-profi.de / referral,2,2,1,2,7.5,15,0,0,0
portal2559.webcam-profi.de / referral,2,0,0,4,3.5,7,0,0,0
portal2606.webcam-profi.de / referral,2,2,1,3.5,7,14,0,0,0
portal2607.webcam-profi.de / referral,2,1,0.5,32.5,7,14,0,0,0
portal2677.webcam-profi.de / referral,2,1,0.5,2.5,3,6,0,0,0
portal2698.webcam-profi.de / referral,2,1,0.5,8,4,8,0,0,0
portal2709.webcam-profi.de / referral,2,0,0,0,2.5,5,0,0,0
portal2713.webcam-profi.de / referral,2,2,1,57,6.5,13,0,0,0
portal2725.webcam-profi.de / referral,2,2,1,4,4.5,9,0,0,0
portal2768.webcam-profi.de / referral,2,1,0.5,18,3.5,7,0,0,0
portal2889.webcam-profi.de / referral,2,1,0.5,90,5,10,0,0,0
portal3480.webcam-profi.de / referral,2,2,1,75.5,9.5,19,0,0,0
protal2234.webcam-profi.de / referral,2,1,0.5,448.5,24,48,0,0,0
rvwiki.drv.drv / referral,2,0,0,0,3.5,7,0,0,0
sicherheitsingenieur.nrw / referral,2,1,0.5,19,3.5,7,0,0,0
snapchat.com / referral,2,2,1,155,8,16,0,0,0
suche.gmx.net / referral,2,1,0.5,4.5,3.5,7,0,0,0
suite.xovi.net / referral,2,2,1,11.5,6,12,0,0,0
ticketsystem.ft-intern.de / referral,2,1,0.5,44,4.5,9,0,0,0
web-explore.com / referral,2,1,0.5,59.5,6,12,0,0,0
yellow-search.com / referral,2,2,1,54.5,10.5,21,0,0,0
0030j24i24.bautvplus.de / referral,1,1,1,16,5,5,0,0,0
0526f25k47.bautvplus.de / referral,1,1,1,14,5,5,0,0,0
0705h25k38.bautvplus.de / referral,1,1,1,9,4,4,0,0,0
1014a25m08.bautvplus.de / referral,1,0,0,0,2,2,0,0,0
1101l25m04.bautvplus.de / referral,1,0,0,0,3,3,0,0,0
11880.com / referral,1,1,1,10,4,4,0,0,0
1215e25l26.bautvplus.de / referral,1,1,1,88,9,9,0,0,0
1217g25j34.bautvplus.de / referral,1,0,0,3,4,4,0,0,0
1301d25l41.bautvplus.de / referral,1,0,0,0,4,4,0,0,0
1326k24n18.bautvplus.de / referral,1,0,0,4,5,5,0,0,0
1429h25j15.bautvplus.de / referral,1,1,1,78,9,9,0,0,0
1520c25k43.bautvplus.de / referral,1,1,1,114,11,11,0,0,0
1808e25l46.bautvplus.de / referral,1,1,1,120,6,6,0,0,0
1817d25h38.bautvplus.de / referral,1,0,0,0,2,2,0,0,0
2311h25o26.bautvplus.de / referral,1,1,1,1,4,4,0,0,0
